Symbol,EntryDate,EntryPrice,Quantity,TrackType
MCX,2026-09-18,3211.2,3,Paper
NIACL,2026-09-18,197.05,50,Paper
WELCORP,2026-09-18,2460.3,4,Paper
ATHERENERG,2026-09-18,1550.0,6,Paper
CHENNPETRO,2026-09-18,1414.1,7,Paper
GRAPHITE,2026-09-18,814.1,12,Paper
IDEA,2026-09-18,14.22,703,Paper
BHEL,2026-09-18,429.2,23,Paper
FINCABLES,2026-09-18,1395.8,7,Paper
YESBANK,2026-09-18,23.13,432,Paper
IDFCFIRSTB,2026-09-18,86.33,115,Paper
WELSPUNLIV,2026-09-18,202.82,49,Paper
NYKAA,2026-09-18,323.75,30,Paper
MOTHERSON,2026-09-18,161.87,61,Paper
RBLBANK,2026-09-18,404.15,24,Paper
BEML,2026-09-18,1991.9,5,Paper
CGCL,2026-09-18,256.65,38,Paper
CARTRADE,2026-09-18,2885.3,3,Paper
ACUTAAS,2026-09-18,3315.1,3,Paper
MOTILALOFS,2026-09-18,976.5,10,Paper
BOSCHLTD,2026-09-18,47555.0,1,Paper
NAVINFLUOR,2026-09-18,8220.0,1,Paper
GESHIP,2026-09-18,1425.1,7,Paper
CUB,2026-09-18,231.82,43,Paper
JINDALSAW,2026-09-18,281.25,35,Paper
SHYAMMETL,2026-09-18,1048.0,9,Paper
TATACOMM,2026-09-18,1799.3,5,Paper
ABDL,2026-09-18,647.55,15,Paper
PTCIL,2026-09-18,22500.0,1,Paper
OIL,2026-09-18,477.4,20,Paper
BALRAMCHIN,2026-09-18,675.7,14,Paper
RKFORGE,2026-09-18,705.45,14,Paper
CRAFTSMAN,2026-09-18,11040.0,1,Paper
ANANDRATHI,2026-09-18,2206.2,4,Paper
ABSLAMC,2026-09-18,1090.1,9,Paper
INDGN,2026-09-18,591.75,16,Paper
SPLPETRO,2026-09-18,792.7,12,Paper
THELEELA,2026-09-18,524.2,19,Paper
SYRMA,2026-09-22,1728.9,5,Paper
PAYTM,2026-09-22,1849.9,5,Paper
REDINGTON,2026-09-22,399.85,25,Paper
ADANIPORTS,2026-09-22,1824.0,5,Paper
HINDZINC,2026-09-22,596.0,16,Paper
KPIL,2026-09-22,1445.5,6,Paper
HOMEFIRST,2026-09-22,1241.3,8,Paper
PFOCUS,2026-09-23,352.65,28,Paper
CGPOWER,2026-09-23,896.1,11,Paper
APARINDS,2026-09-23,18945.0,1,Paper
AEGISLOG,2026-09-23,1486.0,6,Paper
HONASA,2026-09-23,473.6,21,Paper
SCHAEFFLER,2026-09-23,4118.2,2,Paper
SONACOMS,2026-09-24,833.0,12,Paper
MAHABANK,2026-09-24,84.11,118,Paper
KIRLOSENG,2026-09-24,2219.5,4,Paper
GVT&D,2026-09-24,4417.0,2,Paper
RADICO,2026-09-24,4601.9,2,Paper
ENGINERSIN,2026-09-24,306.2,32,Paper
USHAMART,2026-09-24,535.05,18,Paper
JSWINFRA,2026-09-24,363.6,27,Paper
BELRISE,2026-09-24,249.78,40,Paper
ACMESOLAR,2026-09-24,458.65,21,Paper
CARBORUNIV,2026-09-24,1211.3,8,Paper
IKS,2026-09-24,1869.2,5,Paper
